year,area,budget_type,value_gbp_m,source
2022-23,crime_fire_drugs,RDEL,760,seed placeholder
2023-24,crime_fire_drugs,RDEL,790,seed placeholder
2024-25,crime_fire_drugs,RDEL,800,seed placeholder
2015-16,corporate_admin,RDEL,420,seed placeholder
2016-17,corporate_admin,RDEL,430,seed placeholder
2017-18,corporate_admin,RDEL,440,seed placeholder
2018-19,corporate_admin,RDEL,445,seed placeholder
2019-20,corporate_admin,RDEL,450,seed placeholder
2020-21,corporate_admin,RDEL,460,seed placeholder
2021-22,corporate_admin,RDEL,465,seed placeholder
2022-23,corporate_admin,RDEL,470,seed placeholder
2023-24,corporate_admin,RDEL,475,seed placeholder
2024-25,corporate_admin,RDEL,480,seed placeholder
2015-16,asylum_support,CDEL,20,seed placeholder
2016-17,asylum_support,CDEL,25,seed placeholder
2017-18,asylum_support,CDEL,30,seed placeholder
2018-19,asylum_support,CDEL,35,seed placeholder
2019-20,asylum_support,CDEL,40,seed placeholder
2020-21,asylum_support,CDEL,50,seed placeholder
2021-22,asylum_support,CDEL,60,seed placeholder
2022-23,asylum_support,CDEL,70,seed placeholder
2023-24,asylum_support,CDEL,75,seed placeholder
2024-25,asylum_support,CDEL,80,seed placeholder
2015-16,borders_migration,CDEL,200,seed placeholder
2016-17,borders_migration,CDEL,220,seed placeholder
2017-18,borders_migration,CDEL,240,seed placeholder
2018-19,borders_migration,CDEL,260,seed placeholder
2019-20,borders_migration,CDEL,280,seed placeholder
2020-21,borders_migration,CDEL,300,seed placeholder
2021-22,borders_migration,CDEL,320,seed placeholder
2022-23,borders_migration,CDEL,340,seed placeholder
2023-24,borders_migration,CDEL,360,seed placeholder
2024-25,borders_migration,CDEL,380,seed placeholder
2015-16,border_security_command,CDEL,0,not established
2016-17,border_security_command,CDEL,0,not established
2017-18,border_security_command,CDEL,0,not established
2018-19,border_security_command,CDEL,0,not established
2019-20,border_security_command,CDEL,0,not established
2020-21,border_security_command,CDEL,0,not established
2021-22,border_security_command,CDEL,0,not established
2022-23,border_security_command,CDEL,0,not established
2023-24,border_security_command,CDEL,10,seed placeholder
2024-25,border_security_command,CDEL,20,seed placeholder
2015-16,police,CDEL,300,seed placeholder
2016-17,police,CDEL,310,seed placeholder
2017-18,police,CDEL,320,seed placeholder
2018-19,police,CDEL,330,seed placeholder
2019-20,police,CDEL,340,seed placeholder
2020-21,police,CDEL,360,seed placeholder
2021-22,police,CDEL,380,seed placeholder
2022-23,police,CDEL,400,seed placeholder
2023-24,police,CDEL,420,seed placeholder
2024-25,police,CDEL,440,seed placeholder
2015-16,homeland_security,CDEL,120,seed placeholder
2016-17,homeland_security,CDEL,125,seed placeholder
2017-18,homeland_security,CDEL,130,seed placeholder
2018-19,homeland_security,CDEL,135,seed placeholder
2019-20,homeland_security,CDEL,140,seed placeholder
2020-21,homeland_security,CDEL,145,seed placeholder
2021-22,homeland_security,CDEL,150,seed placeholder
2022-23,homeland_security,CDEL,160,seed placeholder
2023-24,homeland_security,CDEL,170,seed placeholder
2024-25,homeland_security,CDEL,180,seed placeholder
2015-16,crime_fire_drugs,CDEL,30,seed placeholder
2016-17,crime_fire_drugs,CDEL,32,seed placeholder
2017-18,crime_fire_drugs,CDEL,34,seed placeholder
2018-19,crime_fire_drugs,CDEL,36,seed placeholder
2019-20,crime_fire_drugs,CDEL,38,seed placeholder
2020-21,crime_fire_drugs,CDEL,40,seed placeholder
2021-22,crime_fire_drugs,CDEL,42,seed placeholder
2022-23,crime_fire_drugs,CDEL,44,seed placeholder
2023-24,crime_fire_drugs,CDEL,46,seed placeholder
2024-25,crime_fire_drugs,CDEL,48,seed placeholder
2015-16,corporate_admin,CDEL,60,seed placeholder
2016-17,corporate_admin,CDEL,65,seed placeholder
2017-18,corporate_admin,CDEL,70,seed placeholder
2018-19,corporate_admin,CDEL,75,seed placeholder
2019-20,corporate_admin,CDEL,80,seed placeholder
2020-21,corporate_admin,CDEL,85,seed placeholder
2021-22,corporate_admin,CDEL,90,seed placeholder
2022-23,corporate_admin,CDEL,95,seed placeholder
2023-24,corporate_admin,CDEL,100,seed placeholder
2024-25,corporate_admin,CDEL,110,seed placeholder
